ADM2_Region,District,Capital,Dominant_Biomass,Notes
Guémon,Montagnes,Duékoué,Cocoa,High cocoa density
Cavally,Montagnes,Guiglo,Cocoa,Cocoa hub
Tonkpi,Montagnes,Man,Mixed,Agroforestry and cocoa
San-Pédro,Bas-Sassandra,San-Pédro,"Palm Oil, Cocoa",Major export zone
Gbôklé,Bas-Sassandra,Sassandra,Cocoa,Oil palm expansion zone
Nawa,Bas-Sassandra,Soubré,Cocoa,LONO pilot zone
Sud-Comoé,Comoé,Aboisso,Palm Oil,Biogas pilot site
Indénié-Djuablin,Comoé,Abengourou,Cocoa,Secondary basin
Haut-Sassandra,Sassandra-Marahoué,Daloa,Cocoa,Biomass project zone
Marahoué,Sassandra-Marahoué,Bouaflé,Cocoa,Agro-industrial
Gôh,Gôh-Djiboua,Gagnoa,Palm Oil,Dense rural population
Lôh-Djiboua,Gôh-Djiboua,Divo,Palm Oil,Processing units
La Mé,Lagunes,Adzopé,Palm Oil,Smallholder dominated
Grands-Ponts,Lagunes,Dabou,Rubber,Mixed plantations
Agnéby-Tiassa,Lagunes,Agboville,Palm Oil,Growing demand
